qid,category,max_ndcg,BGE-M3,Qwen3-embed,Hybrid BM25+Qwen3,BM25
19,hard,0.0,0.0,0.0,0.0,0.0
22,hard,0.0,0.0,0.0,0.0,0.0
46,hard,0.0,0.0,0.0,0.0,0.0
109,hard,0.0,0.0,0.0,0.0,0.0
161,hard,0.0,0.0,0.0,0.0,0.0
358,hard,0.0,0.0,0.0,0.0,0.0
361,hard,0.0,0.0,0.0,0.0,0.0
419,hard,0.0,0.0,0.0,0.0,0.0
450,hard,0.0,0.0,0.0,0.0,0.0
559,hard,0.0,0.0,0.0,0.0,0.0
640,hard,0.0,0.0,0.0,0.0,0.0
759,hard,0.0,0.0,0.0,0.0,0.0
789,hard,0.0,0.0,0.0,0.0,0.0
966,hard,0.0,0.0,0.0,0.0,0.0
1002,hard,0.0,0.0,0.0,0.0,0.0
1035,hard,0.0,0.0,0.0,0.0,0.0
1204,hard,0.0,0.0,0.0,0.0,0.0
1310,hard,0.0,0.0,0.0,0.0,0.0
1352,hard,0.0,0.0,0.0,0.0,0.0
1419,hard,0.0,0.0,0.0,0.0,0.0
1420,hard,0.0,0.0,0.0,0.0,0.0
1505,hard,0.0,0.0,0.0,0.0,0.0
1559,hard,0.0,0.0,0.0,0.0,0.0
1619,hard,0.0,0.0,0.0,0.0,0.0
1633,hard,0.0,0.0,0.0,0.0,0.0
1982,hard,0.0,0.0,0.0,0.0,0.0
2102,hard,0.0,0.0,0.0,0.0,0.0
2119,hard,0.0,0.0,0.0,0.0,0.0
2142,hard,0.0,0.0,0.0,0.0,0.0
2267,hard,0.0,0.0,0.0,0.0,0.0
2898,hard,0.0,0.0,0.0,0.0,0.0
3057,hard,0.0,0.0,0.0,0.0,0.0
3104,hard,0.0,0.0,0.0,0.0,0.0
3121,hard,0.0,0.0,0.0,0.0,0.0
3244,hard,0.0,0.0,0.0,0.0,0.0
3333,hard,0.0,0.0,0.0,0.0,0.0
3358,hard,0.0,0.0,0.0,0.0,0.0
3482,hard,0.0,0.0,0.0,0.0,0.0
3582,hard,0.0,0.0,0.0,0.0,0.0
3609,hard,0.0,0.0,0.0,0.0,0.0
3614,hard,0.0,0.0,0.0,0.0,0.0
3661,hard,0.0,0.0,0.0,0.0,0.0
3728,hard,0.0,0.0,0.0,0.0,0.0
3753,hard,0.0,0.0,0.0,0.0,0.0
3968,hard,0.0,0.0,0.0,0.0,0.0
3998,hard,0.0,0.0,0.0,0.0,0.0
4010,hard,0.0,0.0,0.0,0.0,0.0
4092,hard,0.0,0.0,0.0,0.0,0.0
4170,hard,0.0,0.0,0.0,0.0,0.0
4211,hard,0.0,0.0,0.0,0.0,0.0
4443,hard,0.0,0.0,0.0,0.0,0.0
4512,hard,0.0,0.0,0.0,0.0,0.0
4586,hard,0.0,0.0,0.0,0.0,0.0
4838,hard,0.0,0.0,0.0,0.0,0.0
4912,hard,0.0,0.0,0.0,0.0,0.0
4921,hard,0.0,0.0,0.0,0.0,0.0
4962,hard,0.0,0.0,0.0,0.0,0.0
4964,hard,0.0,0.0,0.0,0.0,0.0
5218,hard,0.0,0.0,0.0,0.0,0.0
5286,hard,0.0,0.0,0.0,0.0,0.0
5337,hard,0.0,0.0,0.0,0.0,0.0
5344,hard,0.0,0.0,0.0,0.0,0.0
5460,hard,0.0,0.0,0.0,0.0,0.0
5563,hard,0.0,0.0,0.0,0.0,0.0
5719,hard,0.0,0.0,0.0,0.0,0.0
5734,hard,0.0,0.0,0.0,0.0,0.0
5769,hard,0.0,0.0,0.0,0.0,0.0
5817,hard,0.0,0.0,0.0,0.0,0.0
5829,hard,0.0,0.0,0.0,0.0,0.0
6042,hard,0.0,0.0,0.0,0.0,0.0
6052,hard,0.0,0.0,0.0,0.0,0.0
5269,hard,0.0979,0.0798,0.0,0.0979,0.0901
5372,hard,0.098,0.0,0.0,0.0,0.098
613,medium,0.1009,0.0,0.0,0.0875,0.1009
1271,medium,0.1021,0.0,0.0,0.0,0.1021
4254,medium,0.1078,0.0,0.1078,0.0,0.0
5525,medium,0.1131,0.1131,0.0,0.0,0.0
506,medium,0.1232,0.1232,0.0,0.0,0.0
218,medium,0.1301,0.1301,0.0,0.0,0.0
1324,medium,0.1461,0.1461,0.0,0.1131,0.0
3306,medium,0.148,0.148,0.0,0.1357,0.0
4375,medium,0.148,0.148,0.0,0.0,0.0
5003,medium,0.148,0.148,0.0,0.0,0.1413
1412,medium,0.1493,0.1493,0.0,0.0,0.0979
2910,medium,0.151,0.151,0.0,0.0,0.0
5452,medium,0.151,0.151,0.1128,0.0,0.0
363,medium,0.1513,0.1513,0.1303,0.0,0.0
3710,medium,0.1564,0.0,0.0,0.1413,0.1564
758,medium,0.1672,0.1672,0.0,0.1413,0.1357
5618,medium,0.1681,0.1681,0.1301,0.0,0.0
905,medium,0.1734,0.0,0.1734,0.0795,0.1622
1725,medium,0.1772,0.0,0.0,0.0,0.1772
2886,medium,0.1772,0.1772,0.0,0.0,0.0
3915,medium,0.1772,0.0,0.0,0.1772,0.0
128,medium,0.1815,0.1357,0.1815,0.1357,0.1413
3780,medium,0.1815,0.1564,0.0,0.1815,0.0
577,medium,0.1846,0.0,0.0,0.0,0.1846
1606,medium,0.1846,0.1846,0.0,0.0,0.0
1545,medium,0.1922,0.0837,0.1922,0.185,0.1012
5461,medium,0.1934,0.1772,0.0,0.1934,0.0
721,medium,0.1952,0.1301,0.0,0.1952,0.0
1144,medium,0.2044,0.0,0.2044,0.1846,0.0
1410,medium,0.2044,0.2044,0.1846,0.0,0.0
1661,medium,0.2044,0.2044,0.0,0.0,0.0
4808,medium,0.2044,0.2044,0.0,0.0,0.0
2039,medium,0.2051,0.2051,0.1184,0.1931,0.1184
694,medium,0.2163,0.2163,0.1184,0.1184,0.0795
41,medium,0.2184,0.0,0.0,0.2184,0.0
1076,medium,0.2278,0.098,0.2278,0.1312,0.2152
4168,medium,0.2333,0.1312,0.2333,0.0,0.0
1340,medium,0.2337,0.2337,0.0,0.1357,0.0
502,medium,0.2346,0.2021,0.2346,0.2021,0.1357
1710,medium,0.2346,0.0,0.0,0.2346,0.0
2109,medium,0.2346,0.0,0.1357,0.2346,0.0
4155,medium,0.2346,0.1672,0.1672,0.2346,0.1357
4516,medium,0.2346,0.2346,0.0,0.0,0.0
5826,medium,0.2346,0.2346,0.0,0.0,0.0
3607,medium,0.2372,0.2184,0.2372,0.0,0.0
3825,medium,0.2372,0.2372,0.2372,0.2372,0.0
5713,medium,0.2407,0.0,0.2407,0.0,0.0
79,medium,0.2462,0.0636,0.0,0.2462,0.1635
521,medium,0.2529,0.2529,0.0,0.0,0.0
1296,medium,0.2529,0.2529,0.1089,0.1089,0.0798
5778,medium,0.2639,0.2639,0.2566,0.1391,0.0
776,medium,0.2641,0.0,0.2641,0.1846,0.0
2954,medium,0.2641,0.2641,0.2641,0.2641,0.1846
3186,medium,0.2641,0.2641,0.0,0.1772,0.0
3597,medium,0.2641,0.2184,0.2641,0.2641,0.1846
4733,medium,0.2641,0.2641,0.0,0.2184,0.0
1612,medium,0.2676,0.2669,0.2676,0.0,0.0
3254,medium,0.2742,0.1175,0.2742,0.1952,0.1301
4712,medium,0.2773,0.214,0.1461,0.2773,0.0
1374,medium,0.2861,0.1089,0.1265,0.2529,0.2861
1051,medium,0.2891,0.2891,0.0,0.0,0.0
3984,medium,0.2891,0.2891,0.0,0.0,0.0
4519,medium,0.2893,0.1815,0.2893,0.2769,0.0
4952,medium,0.2921,0.2921,0.0,0.0,0.0
730,medium,0.2961,0.2961,0.2346,0.2961,0.1357
3464,medium,0.2961,0.2961,0.1815,0.2961,0.148
3487,medium,0.2961,0.1413,0.0,0.2961,0.0
708,easy,0.301,0.0,0.0,0.301,0.0
869,easy,0.301,0.2891,0.0,0.0,0.301
3376,easy,0.301,0.0,0.0,0.0,0.301
984,easy,0.3026,0.3026,0.3026,0.3026,0.1909
1719,easy,0.3026,0.2816,0.3026,0.1513,0.0
2049,easy,0.3026,0.3026,0.1909,0.1513,0.0
622,easy,0.3066,0.0,0.3066,0.2641,0.0
1057,easy,0.3066,0.1934,0.3066,0.1772,0.0
1168,easy,0.3066,0.3066,0.3066,0.2372,0.1772
