judge_a,judge_b,kappa,agree_pct,both_pos_pct,both_neg_pct,disagree_ab_pct,disagree_ba_pct,posrate_a,posrate_b,n_common_pairs
ChatGPT,DeepSeek-V3,0.7144,0.8881,0.2112,0.6769,0.0432,0.0687,0.2544,0.2799,9668
ChatGPT,Gemma2-vllm-zs-bing,0.5728,0.8052,0.235,0.5702,0.0194,0.1753,0.2544,0.4103,9668
ChatGPT,Gemma2-vllm-zs-bing-strict,0.5139,0.7682,0.2378,0.5304,0.0167,0.2151,0.2544,0.4529,9668
ChatGPT,Human,0.3869,0.7478,0.1608,0.587,0.0936,0.1586,0.2544,0.3194,9668
ChatGPT,Llama3-default,0.2251,0.5491,0.2351,0.314,0.0193,0.4315,0.2544,0.6666,9668
ChatGPT,Llama3-strict,0.4746,0.7662,0.2043,0.562,0.0502,0.1836,0.2544,0.3879,9668
ChatGPT,Llama3-vllm-fs-basic,0.4485,0.7381,0.2207,0.5174,0.0337,0.2282,0.2544,0.4489,9668
ChatGPT,Llama3-vllm-fs-bing,0.4579,0.7691,0.1863,0.5829,0.0682,0.1627,0.2544,0.349,9668
ChatGPT,Llama3-vllm-zs-basic,0.3546,0.6517,0.2434,0.4084,0.0111,0.3372,0.2544,0.5806,9668
ChatGPT,Qwen2.5-7B,0.5877,0.8329,0.1974,0.6355,0.0571,0.1101,0.2544,0.3074,9668
DeepSeek-V3,Gemma2-vllm-zs-bing,0.6265,0.828,0.2591,0.5689,0.0208,0.1512,0.2799,0.4103,9668
DeepSeek-V3,Gemma2-vllm-zs-bing-strict,0.5656,0.7918,0.2623,0.5295,0.0176,0.1906,0.2799,0.4529,9668
DeepSeek-V3,Human,0.4219,0.7569,0.1781,0.5788,0.1018,0.1413,0.2799,0.3194,9668
DeepSeek-V3,Llama3-default,0.2616,0.5766,0.2616,0.3151,0.0183,0.405,0.2799,0.6666,9668
DeepSeek-V3,Llama3-strict,0.5198,0.7836,0.2257,0.5579,0.0542,0.1622,0.2799,0.3879,9668
DeepSeek-V3,Llama3-vllm-fs-basic,0.4879,0.7555,0.2421,0.5133,0.0378,0.2068,0.2799,0.4489,9668
