qid,mean_disagreement,n_docs_judged,frac_docs_disagreed
3594,0.2248,10,1.0
4865,0.2179,10,1.0
1091,0.2176,9,1.0
5009,0.2166,10,1.0
1607,0.2161,10,0.9
1909,0.2147,10,1.0
5007,0.2133,10,1.0
3315,0.213,10,1.0
5692,0.2115,10,1.0
919,0.2106,10,1.0
4489,0.2099,10,1.0
5706,0.2095,10,1.0
3390,0.209,10,1.0
4797,0.2089,10,1.0
4252,0.2081,10,1.0
4443,0.2078,10,0.9
4485,0.2076,10,1.0
1076,0.2074,10,1.0
3589,0.2073,10,1.0
3830,0.2073,10,1.0
694,0.2062,13,1.0
2234,0.2055,10,1.0
389,0.2054,10,1.0
5616,0.2041,10,1.0
4701,0.2038,10,1.0
721,0.2037,10,1.0
4567,0.2037,10,1.0
4435,0.2034,10,0.9
1419,0.2021,10,1.0
5410,0.202,10,1.0
427,0.2017,13,0.9231
79,0.2014,11,0.9091
4663,0.2011,10,1.0
5438,0.199,10,1.0
5605,0.1984,10,1.0
1161,0.1978,10,1.0
5510,0.1977,10,1.0
5000,0.1975,10,0.9
5170,0.1971,10,1.0
423,0.197,10,0.9
3535,0.1964,10,1.0
4648,0.1963,12,1.0
3182,0.1961,10,1.0
3459,0.1955,10,1.0
4593,0.1939,10,1.0
4932,0.1933,10,1.0
3964,0.1931,10,0.9
3204,0.1929,10,1.0
2619,0.1928,3,1.0
1478,0.1927,14,1.0
4798,0.1926,10,1.0
506,0.1919,10,1.0
2919,0.1913,10,0.9
5976,0.191,10,1.0
60,0.1908,10,1.0
3690,0.1907,10,1.0
5528,0.1904,10,1.0
1690,0.1891,11,0.9091
4100,0.1891,10,1.0
320,0.189,10,0.9
5074,0.189,10,1.0
5084,0.1887,10,1.0
909,0.1881,10,1.0
1605,0.1881,10,1.0
1499,0.188,10,1.0
3865,0.1875,10,1.0
5276,0.1873,10,1.0
1545,0.1868,10,0.9
4713,0.1868,10,1.0
3884,0.1864,12,1.0
2138,0.186,10,1.0
4092,0.1858,10,1.0
5269,0.1858,10,1.0
1625,0.1853,10,1.0
3090,0.1852,10,1.0
4170,0.1851,10,1.0
4919,0.1848,10,1.0
3532,0.1847,10,0.8
5262,0.1845,10,1.0
1239,0.1844,13,1.0
3934,0.1843,10,1.0
5850,0.1843,10,1.0
4991,0.1838,10,1.0
5858,0.1838,10,1.0
568,0.1835,12,0.9167
1252,0.1832,10,1.0
1874,0.183,12,0.9167
3045,0.1829,10,1.0
2228,0.1828,10,0.9
4303,0.1827,10,1.0
2105,0.1819,12,0.9167
121,0.1818,10,1.0
4417,0.1815,10,1.0
2001,0.1814,10,0.9
4986,0.1809,10,0.9
3694,0.1807,9,0.8889
4421,0.1805,10,0.9
1718,0.1804,10,0.9
58,0.1802,10,1.0
3046,0.1802,10,1.0
1053,0.1801,10,1.0
5195,0.18,10,1.0
4733,0.1798,10,1.0
4311,0.1793,10,0.9
3911,0.1785,10,1.0
5980,0.1784,10,1.0
896,0.1782,10,1.0
1862,0.1781,10,1.0
149,0.178,10,1.0
2897,0.178,10,0.9
3977,0.178,10,1.0
1680,0.1776,10,0.9
902,0.1775,10,0.9
205,0.1765,10,0.9
1513,0.1765,10,0.9
2231,0.1765,10,1.0
613,0.1763,10,0.9
5352,0.1761,10,0.9
4876,0.176,13,0.9231
4779,0.1759,10,0.9
1534,0.1753,10,1.0
1210,0.1748,10,1.0
5719,0.1746,10,0.8
5772,0.1744,10,1.0
4799,0.1743,9,1.0
4324,0.1741,10,0.9
3753,0.1739,10,0.9
17,0.1737,10,1.0
4599,0.1736,10,0.8
4647,0.1732,11,0.9091
675,0.173,10,0.9
946,0.1729,10,0.9
4677,0.1729,10,1.0
4850,0.1728,10,1.0
1234,0.1726,9,0.8889
640,0.1723,10,0.9
3809,0.1723,10,1.0
5649,0.1723,10,1.0
1266,0.1719,10,0.9
778,0.1718,10,0.8
4760,0.1713,10,1.0
5152,0.1712,10,0.9
5567,0.1711,10,1.0
5948,0.1708,13,0.9231
3373,0.1707,10,0.9
4069,0.1706,10,0.9
4805,0.1706,10,0.9
3843,0.1705,10,0.9
1167,0.1703,10,1.0
2259,0.17,10,0.8
3487,0.17,10,0.9
3615,0.1699,9,0.8889
3969,0.1698,10,0.9
4487,0.1695,10,0.9
5757,0.1695,10,0.8
673,0.1693,10,0.9
2978,0.1691,10,0.8
5482,0.1691,10,0.8
1278,0.169,10,1.0
41,0.1686,10,1.0
5284,0.1686,10,1.0
3110,0.1684,10,0.8
1002,0.1683,5,0.8
2827,0.1681,12,0.9167
4639,0.1681,10,1.0
5912,0.1678,10,0.9
4046,0.1677,10,0.9
30,0.1675,10,0.9
4519,0.1675,10,0.9
713,0.1673,10,1.0
3424,0.1669,10,1.0
76,0.1668,10,1.0
1935,0.1668,11,1.0
2842,0.1668,9,0.8889
4319,0.1668,10,0.8
5017,0.1668,10,0.9
4536,0.1667,10,0.9
935,0.1665,9,0.8889
3780,0.1665,10,0.9
881,0.1663,10,0.9
3539,0.1663,10,0.9
3514,0.1662,10,1.0
6042,0.166,10,0.8
2142,0.1658,10,0.9
3450,0.1658,14,0.8571
