qid,ndcg_baseline,ndcg_reranked,delta
1770,1.0,0.0,-1.0
2329,1.0,0.0,-1.0
3738,1.0,0.0,-1.0
3901,1.0,0.0,-1.0
4123,1.0,0.0,-1.0
4180,1.0,0.0,-1.0
4699,1.0,0.0,-1.0
4979,1.0,0.0,-1.0
5629,1.0,0.0,-1.0
5249,1.0,0.1413,-0.8587
4883,0.852,0.1357,-0.7163
734,1.0,0.2891,-0.7109
4111,1.0,0.2891,-0.7109
4227,0.7095,0.0,-0.7095
1874,0.7039,0.0,-0.7039
1278,1.0,0.3066,-0.6934
4897,1.0,0.3155,-0.6845
1680,0.6805,0.0,-0.6805
2843,1.0,0.3333,-0.6667
6138,1.0,0.3333,-0.6667
785,0.6509,0.0,-0.6509
4503,0.6367,0.0,-0.6367
4663,0.6367,0.0,-0.6367
4177,0.9325,0.2961,-0.6364
2866,0.6309,0.0,-0.6309
3415,0.6309,0.0,-0.6309
3679,0.6309,0.0,-0.6309
3600,0.7654,0.148,-0.6173
628,1.0,0.3869,-0.6131
1251,0.6131,0.0,-0.6131
1327,0.8772,0.2641,-0.6131
1493,0.6131,0.0,-0.6131
2225,0.6131,0.0,-0.6131
2851,1.0,0.3869,-0.6131
3887,0.6131,0.0,-0.6131
4489,1.0,0.3869,-0.6131
3191,0.9675,0.3911,-0.5764
1252,0.6976,0.1232,-0.5744
4324,0.8772,0.3066,-0.5706
2079,1.0,0.4307,-0.5693
3382,1.0,0.4307,-0.5693
4171,1.0,0.4307,-0.5693
4600,1.0,0.4307,-0.5693
5104,1.0,0.4307,-0.5693
5408,1.0,0.4307,-0.5693
4500,0.6984,0.1301,-0.5683
896,0.5585,0.0,-0.5585
3005,1.0,0.4556,-0.5444
4100,1.0,0.4556,-0.5444
1764,0.8503,0.3066,-0.5438
5510,0.9877,0.4554,-0.5323
1853,0.6548,0.1312,-0.5236
4836,1.0,0.4825,-0.5175
555,0.8091,0.2956,-0.5135
724,1.0,0.4911,-0.5089
881,1.0,0.5,-0.5
1747,1.0,0.5,-0.5
2126,1.0,0.5,-0.5
2261,1.0,0.5,-0.5
3042,0.5,0.0,-0.5
3406,1.0,0.5,-0.5
4415,1.0,0.5,-0.5
4436,1.0,0.5,-0.5
4788,0.5,0.0,-0.5
5653,1.0,0.5,-0.5
5499,1.0,0.5013,-0.4987
946,0.9675,0.4693,-0.4982
3821,0.8711,0.3759,-0.4952
4449,0.8603,0.3693,-0.4911
2897,0.5667,0.0827,-0.4839
1210,0.4776,0.0,-0.4776
5044,0.9469,0.4736,-0.4733
4145,0.6213,0.1513,-0.47
3214,0.7039,0.2346,-0.4693
5380,0.4693,0.0,-0.4693
5731,0.4693,0.0,-0.4693
1519,0.7654,0.2977,-0.4677
1404,0.6608,0.214,-0.4469
2159,0.8316,0.3869,-0.4447
4318,0.7095,0.2685,-0.441
642,0.4307,0.0,-0.4307
2250,0.4307,0.0,-0.4307
5965,0.4307,0.0,-0.4307
1402,1.0,0.5706,-0.4294
5000,0.9469,0.5307,-0.4162
3911,0.7426,0.3392,-0.4034
5117,0.3981,0.0,-0.3981
5366,0.8278,0.4373,-0.3905
494,0.3904,0.0,-0.3904
4700,0.5079,0.1175,-0.3904
5976,0.5414,0.151,-0.3904
1084,0.6509,0.2641,-0.3869
1407,0.3869,0.0,-0.3869
1554,1.0,0.6131,-0.3869
2101,1.0,0.6131,-0.3869
5170,1.0,0.6131,-0.3869
1517,0.7748,0.3981,-0.3767
3615,0.9224,0.5462,-0.3762
4888,0.6131,0.2372,-0.3759
712,0.5245,0.1513,-0.3732
3296,0.5833,0.214,-0.3693
4,1.0,0.6309,-0.3691
55,1.0,0.6309,-0.3691
60,1.0,0.6309,-0.3691
310,1.0,0.6309,-0.3691
633,1.0,0.6309,-0.3691
992,1.0,0.6309,-0.3691
1112,1.0,0.6309,-0.3691
1167,1.0,0.6309,-0.3691
2260,1.0,0.6309,-0.3691
2870,1.0,0.6309,-0.3691
3031,1.0,0.6309,-0.3691
4137,1.0,0.6309,-0.3691
4307,1.0,0.6309,-0.3691
5234,1.0,0.6309,-0.3691
5263,1.0,0.6309,-0.3691
5276,1.0,0.6309,-0.3691
229,0.4907,0.1265,-0.3642
4421,0.7654,0.4018,-0.3636
2994,0.3562,0.0,-0.3562
4639,0.4233,0.0741,-0.3492
706,0.6131,0.2641,-0.3491
1771,1.0,0.6509,-0.3491
2919,0.8316,0.4838,-0.3477
4405,0.9829,0.6367,-0.3462
4569,0.9829,0.6367,-0.3462
6043,0.3452,0.0,-0.3452
3532,0.4462,0.1021,-0.3441
2619,0.8127,0.4693,-0.3434
5284,0.6962,0.3558,-0.3404
5152,0.7039,0.3693,-0.3347
1605,0.5252,0.1909,-0.3342
1145,0.4923,0.1596,-0.3327
3217,0.434,0.1021,-0.3319
4798,0.7668,0.4415,-0.3253
867,0.4104,0.0875,-0.3229
778,0.7039,0.3836,-0.3203
5875,0.8539,0.5346,-0.3193
1607,0.5518,0.2346,-0.3172
5652,0.5193,0.2021,-0.3172
6110,0.6805,0.3633,-0.3171
709,0.3155,0.0,-0.3155
3468,0.3155,0.0,-0.3155
3594,0.7845,0.4693,-0.3152
2234,0.6105,0.2961,-0.3145
611,0.4693,0.1564,-0.3129
3459,0.6296,0.3209,-0.3086
3830,0.589,0.2816,-0.3074
1636,0.802,0.4951,-0.307
2087,0.6131,0.3066,-0.3066
2638,1.0,0.6934,-0.3066
3161,0.6131,0.3066,-0.3066
3536,0.6131,0.3066,-0.3066
4181,0.6131,0.3066,-0.3066
4202,1.0,0.6934,-0.3066
5595,0.525,0.2184,-0.3066
5605,0.3066,0.0,-0.3066
5675,0.6131,0.3066,-0.3066
5717,0.9197,0.6131,-0.3066
4825,0.3028,0.0,-0.3028
2180,0.4415,0.1391,-0.3024
808,0.4693,0.1672,-0.3021
4640,0.301,0.0,-0.301
178,0.2961,0.0,-0.2961
4417,0.2961,0.0,-0.2961
5007,0.5414,0.2463,-0.2951
5730,0.511,0.2184,-0.2925
429,0.5944,0.3041,-0.2903
5465,0.2891,0.0,-0.2891
2827,0.4043,0.1175,-0.2868
5358,0.2826,0.0,-0.2826
1571,0.4825,0.2044,-0.2781
4467,0.5585,0.2811,-0.2774
1625,0.6309,0.3562,-0.2747
2080,0.6309,0.3562,-0.2747
4015,0.6367,0.3633,-0.2734
